ID,수요량
TEST_0000,211.253232598627
TEST_0001,5.842131137906203
TEST_0002,368.27080397198114
TEST_0003,246.60997442191638
TEST_0004,138.54548160678505
TEST_0005,215.3144431630832
TEST_0006,248.05498378913822
TEST_0007,626.0767054388111
TEST_0008,268.255628997161
TEST_0009,376.6918284783362
TEST_0010,131.39515863176769
TEST_0011,92.1277433490251
TEST_0012,175.51640745211844
TEST_0013,272.3969261744063
TEST_0014,76.32929343909915
TEST_0015,42.290423698296586
TEST_0016,63.0175620050653
TEST_0017,394.54432312140483
TEST_0018,164.46708102143435
TEST_0019,39.78923220173107
TEST_0020,110.1166489662303
TEST_0021,-35.20533418285755
TEST_0022,40.443652060438296
TEST_0023,-10.434388873564439
TEST_0024,397.5179676297136
TEST_0025,68.1318190341103
TEST_0026,391.9371650023861
TEST_0027,528.6799503568296
TEST_0028,791.8146216197325
TEST_0029,455.31368059496515
TEST_0030,371.16080186549146
TEST_0031,382.06327044408414
TEST_0032,83.82895583941372
TEST_0033,81.4102203394082
TEST_0034,486.813236740386
TEST_0035,1530.0639883123274
TEST_0036,887.8801367625582
TEST_0037,720.3546111606759
TEST_0038,103.56106646339457
TEST_0039,471.3592535427522
TEST_0040,203.08833100602752
TEST_0041,29.77681804999475
TEST_0042,360.4202356828762
TEST_0043,86.84424675082892
TEST_0044,828.9111019633929
TEST_0045,150.38773566992546
TEST_0046,818.699188762482
TEST_0047,42.506862488469466
TEST_0048,829.891916256286
TEST_0049,77.00547799025958
TEST_0050,147.69180704145612
TEST_0051,880.1491235757446
TEST_0052,-15.414280188734326
TEST_0053,238.52232843269462
TEST_0054,114.52518309790472
TEST_0055,1059.203984298359
TEST_0056,80.47898256514571
TEST_0057,111.97267612232655
TEST_0058,269.25454006772486
TEST_0059,1491.6094217286168
TEST_0060,377.52169922478976
TEST_0061,912.2004029444445
TEST_0062,57.16359236201631
TEST_0063,339.20568245301985
TEST_0064,222.589814342442
TEST_0065,976.5887518218153
TEST_0066,163.0918512098222
TEST_0067,177.87647161403518
TEST_0068,635.4093043723005
TEST_0069,344.4889589655052
TEST_0070,478.6887446880636
TEST_0071,28.148107617517866
TEST_0072,46.97831954609471
TEST_0073,311.3309671199187
TEST_0074,-23.545228527981664
TEST_0075,340.07427118325324
TEST_0076,96.42671269173171
TEST_0077,156.94474958824873
TEST_0078,152.39104527605386
